Text,OptionA,OptionB,OptionC,OptionD,CorrectOption
Who is known as the 'Father of the Indian Constitution'?,Mahatma Gandhi,Jawaharlal Nehru,B.R. Ambedkar,Sardar Patel,C
Which amendment of the Indian Constitution lowered the voting age from 21 to 18?,42nd Amendment,44th Amendment,61st Amendment,73rd Amendment,C
The 'Doctrine of Lapse' was introduced by which British Governor-General?,Lord Dalhousie,Lord Cornwallis,Lord Wellesley,Lord Curzon,A
Which battle marked the beginning of British rule in India?,Battle of Plassey,Battle of Buxar,Battle of Panipat,Battle of Haldighati,A
Who authored the book 'Discovery of India'?,Rabindranath Tagore,Jawaharlal Nehru,Mahatma Gandhi,Subhas Chandra Bose,B
The 'Quit India Movement' was launched in which year?,1940,1941,1942,1945,C
Which of the following is not a Fundamental Right?,Right to Equality,Right to Property,Right to Freedom of Religion,Right to Education,B
The 'Green Revolution' in India was primarily associated with which crop?,Rice,Wheat,Sugarcane,Cotton,B
Who was the first woman Prime Minister of India?,Indira Gandhi,Sonia Gandhi,Pratibha Patil,Sarojini Naidu,A
The 'Tashkent Agreement' was signed between India and which country?,China,Pakistan,Nepal,Bangladesh,B
Which planet is known as the 'Red Planet'?,Venus,Mars,Jupiter,Saturn,B
The process of converting light energy into chemical energy is called:,Respiration,Photosynthesis,Fermentation,Transpiration,B
Which gas is responsible for the greenhouse effect?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
The SI unit of electric current is:,Ohm,Volt,Ampere,Watt,C
Which of the following is a noble gas?,Oxygen,Nitrogen,Helium,Chlorine,C
The largest gland in the human body is:,Pancreas,Liver,Kidney,Stomach,B
Which vitamin is also known as ascorbic acid?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C
The study of earthquakes is called:,Geology,Seismology,Meteorology,Volcanology,B
Which of the following is not a natural polymer?,Rubber,Silk,Polyethylene,Wool,C
The chemical symbol for gold is:,Ag,Au,Fe,Hg,B
The 'Dandi March' was associated with which movement?,Non-Cooperation Movement,Civil Disobedience Movement,Quit India Movement,Swadeshi Movement,B
Who was the first President of India?,Rajendra Prasad,Sarvepalli Radhakrishnan,Zakir Hussain,V.V. Giri,A
The 'Poona Pact' was signed between Mahatma Gandhi and:,Jawaharlal Nehru,B.R. Ambedkar,Subhas Chandra Bose,Muhammad Ali Jinnah,B
The 'Simon Commission' was boycotted because:,It was all-British,It was all-Indian,It included no women,It was appointed too late,A
The 'Battle of Plassey' was fought in which year?,1757,1764,1857,1942,A
Which of the following is not a classical dance form of India?,Bharatanatyam,Kathakali,Kuchipudi,Bhangra,D
The 'Mughal Gardens' are located in which Indian city?,Delhi,Agra,Jaipur,Hyderabad,A
The 'Kalinga War' was fought by which emperor?,Ashoka,Chandragupta Maurya,Harsha,Akbar,A
The 'Jallianwala Bagh Massacre' occurred in which city?,Amritsar,Lahore,Delhi,Kolkata,A
The 'Indian National Army' (INA) was founded by:,Subhas Chandra Bose,Bhagat Singh,Chandrashekhar Azad,Lala Lajpat Rai,A
Which of the following is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,A
The 'Sundarbans' delta is formed by which rivers?,Ganga and Brahmaputra,Godavari and Krishna,Yamuna and Ganga,Narmada and Tapti,A
Which of the following is not a type of rock?,Igneous,Sedimentary,Metamorphic,Liquid,D
The 'Ring of Fire' is associated with:,Earthquakes and Volcanoes,Hurricanes,Tornadoes,Floods,A
